gpu_type,task,system,concurrency,ttft_ms_mean,ttft_ms_std,tpot_ms_mean,tpot_ms_std,tokens_per_sec_mean,tokens_per_sec_std,total_latency_ms_mean,acceptance_rate_mean
A100,chat,baseline,1,313.0033333333334,495.85734171567265,10.796666666666667,0.00577350269189716,84.85666666666667,12.528504832314718,3065.5499999999997,
A100,chat,baseline,4,47.6675,11.576318401256625,10.861666666666666,0.009374368665610764,90.86916666666667,0.35085501624494847,2817.295,
A100,chat,baseline,8,106.34750000000001,64.84299159273615,11.045833333333334,0.025861952356891753,87.61666666666667,1.9684327614200774,2923.2329166666664,
A100,chat,baseline,16,77.10708333333334,19.49776015050254,11.347083333333332,0.04005094273777344,84.54104166666667,5.569326037220773,2635.195,
A100,chat,baseline,32,143.53208333333333,64.69739866106497,12.9740625,0.3692255853739511,72.51510416666666,6.048828158767469,3053.6905208333333,
A100,chat,eagle3,1,912.6666666666666,1516.8379374980484,7.136666666666667,0.041633319989322765,110.69666666666666,46.30370323563046,2732.8233333333337,0.19413333333333335
A100,chat,eagle3,4,914.3216666666667,1033.160567199093,5.935,2.044458141148674,136.25833333333333,69.03543132904926,2427.8625,0.3015666666666667
A100,chat,eagle3,8,102.73833333333333,61.40909220788973,5.736666666666667,1.6256120363584983,173.15458333333333,40.344459560268554,1552.495,0.3576
A100,chat,eagle3,16,162.510625,95.51259082437265,6.346875,2.458581286329448,151.07895833333333,42.71768671717035,1518.1302083333333,0.3939333333333333
A100,chat,eagle3,32,185.084375,56.184508593748944,8.0809375,2.501211949656658,115.39625000000001,24.9966894755454,1927.1914583333335,0.41886666666666666
A100,code,baseline,1,28.26,3.814957404742548,10.75,0.0,92.44333333333333,0.13203534880225623,2769.346666666667,
A100,code,baseline,4,48.72833333333333,17.571134817873283,10.854999999999999,0.04542726454054181,90.84416666666668,0.575949150743732,2702.6558333333332,
A100,code,baseline,8,63.095,22.0201052400439,11.01375,0.020812308231260887,89.11166666666666,0.7106620713884618,2813.80875,
A100,code,baseline,16,93.15625,40.840991226483496,11.433541666666665,0.06570370575815782,85.063125,1.2062305560112971,2962.748125,
A100,code,baseline,32,146.92333333333332,62.601924649523035,13.0684375,0.09978216405329068,73.52968750000001,1.4913599961638642,3420.504375,
A100,code,eagle3,1,36.04,0.9245539465060996,3.65,0.009999999999999898,264.96,0.6221736092121282,966.19,0.4255
A100,code,eagle3,4,61.82833333333334,16.394663673576744,3.9058333333333333,0.163788018949846,242.1291666666667,10.009502265650402,1044.7575,0.43270000000000003
A100,code,eagle3,8,84.63,23.549960952612324,4.417916666666667,0.30968397870517417,211.63583333333335,11.955085843950762,1189.77125,0.4465666666666667
A100,code,eagle3,16,124.31,41.36567592438024,5.057708333333333,0.38106926596223023,181.519375,12.264712295287246,1388.381875,0.46753333333333336
A100,code,eagle3,32,190.31322916666667,66.43343154094048,6.888437499999999,0.608626284305376,132.31614583333334,12.327273089825683,1915.2133333333334,0.4953
A100,summarization,baseline,1,36.78333333333333,18.010692194730698,10.836666666666666,0.015275252316519432,90.45333333333333,1.146312929933769,1337.51,
A100,summarization,baseline,4,69.575,41.759847722641204,10.964999999999998,0.13228756555322949,87.54666666666667,2.502901346740451,1443.2250000000001,
A100,summarization,baseline,8,78.19208333333334,40.47070308895673,11.142083333333334,0.15926404563455016,85.19291666666668,2.8480252184500654,1326.2345833333334,
A100,summarization,baseline,16,138.13333333333333,89.21214585120057,11.752916666666666,0.29626726241713236,78.028125,5.187364212526849,1472.2422916666667,
A100,summarization,baseline,32,217.15614583333334,146.1265321588743,13.933437499999998,0.8380338243707541,64.47927083333333,6.317604516835501,1847.5285416666666,
A100,summarization,eagle3,1,45.196666666666665,15.098179801993792,4.413333333333334,0.023094010767585053,210.5,6.598461941998304,570.46,0.5036333333333334
A100,summarization,eagle3,4,80.45,45.9923331555479,5.56,0.5836717632991397,164.39083333333335,18.781635352523264,782.2783333333333,0.5019
A100,summarization,eagle3,8,100.81958333333334,43.27431897127367,5.87375,0.5445126460782433,150.40416666666667,14.704460996187715,776.7170833333333,0.4987
A100,summarization,eagle3,16,159.02916666666667,85.2237172770868,7.0285416666666665,0.6902882209730835,120.96,13.868394498190721,947.5929166666666,0.4939
A100,summarization,eagle3,32,267.06895833333334,152.40384422198915,9.791145833333333,1.3786025493357708,85.4771875,12.85044596425599,1412.5758333333333,0.48500000000000004
L4,chat,baseline,1,127.62666666666667,88.47605909698585,59.22666666666667,0.025166114784232238,16.80666666666667,0.09237604307033867,15229.876666666669,
L4,chat,baseline,4,145.21,45.72827690927036,61.455000000000005,0.029076701075854475,16.186666666666667,0.04228331571528855,15816.289166666667,
L4,chat,baseline,8,175.24375,52.03619182106941,62.33833333333333,0.2196571768969078,15.927916666666667,0.0895874198596063,16071.48625,
L4,chat,baseline,16,224.73729166666666,61.63067106492612,63.470416666666665,0.6556009370436294,15.563958333333334,0.18874433437553842,14686.406666666668,
L4,chat,baseline,32,393.14927083333333,235.64460226207646,71.25729166666666,1.9936190203360282,13.706458333333332,0.5046707716118477,16489.629166666666,
L4,chat,eagle3,1,265.67,291.660097373638,38.71,0.3551056180912926,25.276666666666667,0.9324340906108771,10136.906666666668,0.1977
L4,chat,eagle3,4,640.2533333333333,537.6720188221091,29.408333333333335,9.359858034406422,34.365,10.855078828071049,8139.259166666667,0.30443333333333333
L4,chat,eagle3,8,233.45291666666665,70.84909937626261,29.060833333333335,8.44318398455828,35.88041666666667,9.372620847872328,7641.034166666667,0.3629
L4,chat,eagle3,16,333.2814583333333,112.99227213246843,27.991666666666664,7.456181023888362,35.47416666666667,8.054105027960489,6800.771250000001,0.3977333333333333
L4,chat,eagle3,32,563.8406249999999,230.46002315648917,37.095104166666665,6.829179806619559,25.657395833333336,4.47264933728302,8945.201145833335,0.42073333333333335
L4,code,baseline,1,76.63666666666667,5.458070477131403,59.18333333333334,0.005773502691896135,16.876666666666665,0.005773502691894596,15168.269999999999,
L4,code,baseline,4,151.35666666666665,66.43107409985635,61.58583333333333,0.1544172819657712,16.143333333333334,0.08435135751813101,15640.275833333333,
L4,code,baseline,8,194.30916666666667,82.74649820078643,62.462916666666665,0.2754360837506277,15.880833333333333,0.12683150982330121,16122.260416666666,
L4,code,baseline,16,262.035625,140.99434583361088,64.374375,0.2318189521927504,15.347916666666668,0.12971258462435023,16542.673333333332,
L4,code,baseline,32,416.51406249999997,294.7351714678187,72.20031250000001,0.6188468956560795,13.5990625,0.29095153557359305,18494.66125,
L4,code,eagle3,1,96.63,2.606971422935057,20.27,0.0,48.616666666666674,0.023094010767587103,5265.443333333334,0.42700000000000005
L4,code,eagle3,4,183.08,83.32674917019582,20.729166666666668,1.3118651422745988,46.895,2.717406852129437,5260.9225,0.4342
L4,code,eagle3,8,232.51583333333335,94.0276039449224,21.815416666666668,1.3416666441623906,44.288333333333334,2.7545040848804687,5688.145416666666,0.448
L4,code,eagle3,16,367.4589583333333,155.1087745743472,23.6075,2.103598234434249,40.27520833333333,3.1084955583891105,6252.774375,0.46943333333333337
L4,code,eagle3,32,604.9436458333333,291.9061922320424,32.74364583333333,2.459375239361096,28.6946875,2.2242074652972956,8760.924583333333,0.49560000000000004
L4,summarization,baseline,1,107.03666666666668,54.399563723740776,59.376666666666665,0.01154700538379227,16.73,0.1299999999999995,7172.956666666666,
L4,summarization,baseline,4,199.45583333333332,144.59208097631281,62.112500000000004,0.4556538758152456,15.823333333333332,0.3258090163754148,7902.04,
L4,summarization,baseline,8,237.755,129.8988635355448,62.80916666666667,0.11294156498583674,15.547916666666666,0.28555025700454617,7436.59125,
L4,summarization,baseline,16,405.4322916666667,326.4975204313625,65.963125,1.5059430582465045,14.547708333333333,0.7713134406704351,7874.470416666667,
L4,summarization,baseline,32,659.0861458333333,638.1530270865488,76.181875,3.4388677183355854,12.414583333333333,1.100885688091917,9506.020208333333,
L4,summarization,eagle3,1,129.10333333333332,54.77808442555594,24.076666666666664,0.0057735026918953655,40.083333333333336,0.7303652054508938,2994.556666666667,0.5036
L4,summarization,eagle3,4,265.49833333333333,143.20346896720912,30.018333333333334,3.1617424233348217,31.6925,3.400866533961334,4034.8141666666666,0.5017
L4,summarization,eagle3,8,294.68083333333334,172.32014951743207,28.58,3.340739308960636,32.65,3.167718970846509,3622.9954166666666,0.4988333333333334
L4,summarization,eagle3,16,497.1489583333334,344.51929061414666,32.6775,3.713103593743695,27.726041666666664,3.707192973518886,4202.027708333333,0.49416666666666664
L4,summarization,eagle3,32,845.4202083333333,656.9956237889646,45.80020833333333,5.805384611070669,19.535,3.2130831234026194,6184.690416666667,0.48550000000000004
