gpu_type,task,system,concurrency,ttft_ms_mean,ttft_ms_std,tpot_ms_mean,tpot_ms_std,tokens_per_sec_mean,tokens_per_sec_std,total_latency_ms_mean,acceptance_rate_mean
A100,chat,baseline,1,309.5966666666667,487.67173798912455,10.76,0.0,85.16333333333334,12.439020593814181,3053.39,
A100,chat,baseline,4,46.62916666666666,12.027032021343599,10.798333333333332,0.01527525231651998,91.43,0.4287402264987345,2800.01,
A100,chat,baseline,8,101.77666666666666,59.387523625075,10.986666666666666,0.026648544566940543,88.21249999999999,1.7051514021774832,2903.1529166666664,
A100,chat,baseline,16,77.16270833333333,18.73181316434047,11.366249999999999,0.30989102408509783,84.56770833333333,6.864343962883864,2621.9310416666667,
A100,chat,baseline,32,141.15572916666667,59.5462196907807,12.966666666666667,0.38091487284021525,72.71958333333333,6.5230975716928015,3028.3196875,
A100,chat,eagle3,1,910.64,1513.9597143583444,13.956666666666669,0.0416333199893229,56.85999999999999,23.84176797135649,2697.2000000000003,0.1977
A100,chat,eagle3,4,939.5875,890.4272531780869,16.12,1.6111317309721913,43.32083333333333,17.079111887881872,2375.3658333333333,0.3122666666666667
A100,chat,eagle3,8,96.26458333333333,57.79229435465737,17.195416666666667,0.71816177883518,55.14333333333334,3.3608754898048545,1553.7591666666667,0.36533333333333334
A100,chat,eagle3,16,155.3685416666667,92.11256210652279,19.231875,0.7631113698314009,46.31729166666667,6.440395038625045,1483.6722916666668,0.40176666666666666
A100,chat,eagle3,32,173.24729166666668,50.9103866660081,26.153541666666666,1.9586095923097382,34.837604166666665,4.800215728659146,1925.7133333333334,0.4272
A100,code,baseline,1,26.903333333333336,3.5626722180595474,10.723333333333334,0.0057735026918960064,92.69666666666667,0.10115993936995306,2761.6366666666668,
A100,code,baseline,4,45.84916666666667,14.402876264724684,10.806666666666667,0.05193235693640089,91.33916666666666,0.6217052551188785,2684.8266666666664,
A100,code,baseline,8,62.3675,23.72975901781302,10.957916666666668,0.0414916614636542,89.5675,0.7853730766745268,2797.895,
A100,code,baseline,16,91.88916666666667,41.15986290288632,11.3775,0.07129501191110263,85.489375,1.2447479557742842,2924.51375,
A100,code,baseline,32,145.0746875,68.70226405452085,13.029791666666666,0.1264909330361308,73.788125,1.6934389255998796,3404.693125,
A100,code,eagle3,1,34.99333333333333,0.6206716791777515,13.786666666666667,0.030550504633039932,70.92999999999999,0.17776388834630738,958.65,0.4342
A100,code,eagle3,4,59.5725,17.494076465010565,15.638333333333334,0.35933861805300354,61.17666666666667,1.682618810249683,998.4891666666666,0.4411333333333333
A100,code,eagle3,8,81.5,23.586112531483984,17.650833333333335,0.3081207649560492,53.54791666666667,1.551022044994194,1163.3983333333333,0.4549666666666667
A100,code,eagle3,16,119.62583333333333,35.042879923507044,20.035625,0.4710192942246793,46.29895833333333,1.7155561589167412,1370.1095833333331,0.47596666666666665
A100,code,eagle3,32,187.24333333333334,71.88640749443627,27.413958333333337,0.9660854044917196,33.513125,1.7680630570441251,1924.7919791666666,0.5015333333333333
A100,summarization,baseline,1,37.18666666666667,17.990634600628553,10.876666666666665,0.02081665999466124,90.11666666666667,1.4434103135745304,1331.4399999999998,
A100,summarization,baseline,4,71.6125,43.255315411676705,10.9325,0.01712255291076078,87.63916666666667,2.6019099919214415,1438.319166666667,
A100,summarization,baseline,8,78.51875,37.631030132117665,11.188333333333333,0.10007243753213563,84.89625,2.265260926519808,1349.2104166666666,
A100,summarization,baseline,16,138.685625,92.53465473681003,11.815208333333333,0.38703999234414915,77.64354166666666,5.463681826809636,1473.9254166666667,
A100,summarization,baseline,32,214.24166666666667,153.57249512281035,13.9846875,0.878075590949352,64.3659375,6.633739530948855,1823.8871875000002,
A100,summarization,eagle3,1,45.42666666666667,14.800220719074877,14.11,0.07937253933193636,67.01,2.052632456140157,567.4566666666666,0.5092
A100,summarization,eagle3,4,82.21916666666667,44.35218134603432,15.9225,0.518005352727697,57.49666666666667,3.371641988255825,762.3541666666666,0.5074
A100,summarization,eagle3,8,97.71,36.42136556425661,17.830416666666668,0.8121869519559742,50.29291666666666,3.5559105470808166,765.7820833333334,0.5043333333333333
A100,summarization,eagle3,16,167.73708333333335,90.03946701918717,20.997291666666666,1.3643059798804626,40.67791666666667,4.470246772346436,946.350625,0.4988666666666666
A100,summarization,eagle3,32,270.11822916666665,161.27756276219998,29.8146875,2.954174905959361,28.3721875,3.960722210359063,1414.89375,0.4898666666666667
L4,chat,baseline,1,98.26333333333334,38.026288713643,59.330000000000005,0.030000000000001137,16.813333333333333,0.03785938897200165,15226.92,
L4,chat,baseline,4,148.3216666666667,48.92284497661661,61.73333333333333,0.13172515003413407,16.109166666666667,0.06185883244545809,15890.1175,
L4,chat,baseline,8,171.96624999999997,46.253740512666035,62.42250000000001,0.260087777824937,15.911666666666667,0.09814216248876442,16076.739166666666,
L4,chat,baseline,16,211.089375,67.89360626702259,63.9025,1.1830496113767692,15.387916666666667,0.6766247847151182,14646.609791666668,
L4,chat,baseline,32,392.2246875,229.71057553709957,71.52854166666667,1.0048387974057973,13.588333333333333,0.6969069509235895,16400.391770833336,
L4,chat,eagle3,1,98.85666666666667,0.6795096271086445,77.19,0.030000000000001137,12.926666666666668,0.005773502691896135,11368.839999999998,0.16626666666666667
L4,chat,eagle3,4,1065.6675,1338.0225974727512,85.08999999999999,3.619379655536165,10.684166666666668,1.7662001242180565,8725.496666666668,0.2688333333333333
L4,chat,eagle3,8,297.5775,148.90964690477355,86.06375000000001,1.1092920284342722,11.29,0.3122847084479717,7786.03,0.3358666666666667
L4,chat,eagle3,16,335.50291666666664,109.89494054445595,91.413125,3.103626674913405,10.44,0.5980998280014119,6748.244374999999,0.3834666666666667
L4,chat,eagle3,32,538.1520833333333,228.27779054161505,121.75197916666667,12.206406136881926,7.799479166666667,0.7911435691009717,8875.594791666666,0.41313333333333335
L4,code,baseline,1,76.93333333333334,4.942280175519521,59.21333333333333,0.005773502691898186,16.866666666666667,0.005773502691896135,15176.01,
L4,code,baseline,4,158.81333333333333,66.24663755903983,61.67249999999999,0.19297314933336268,16.113333333333333,0.08721273190343741,15442.556666666665,
L4,code,baseline,8,194.3166666666667,84.46375433936998,62.53625,0.3364625762508984,15.860416666666666,0.13375770328622455,15802.097916666666,
L4,code,baseline,16,277.4902083333333,153.04254155458733,64.295625,0.24748871669960498,15.352708333333332,0.167988596159728,16343.922708333334,
L4,code,baseline,32,418.2469791666667,287.39604098331586,72.4071875,0.596318006162562,13.556979166666666,0.29466526876107285,18533.922708333335,
L4,code,eagle3,1,97.99666666666667,2.754311771265802,77.09,0.0,12.92,0.009999999999999787,5263.15,0.4202333333333333
L4,code,eagle3,4,196.51250000000002,71.89907878092356,84.92916666666666,1.1382878556956646,11.519166666666669,0.2695942518045601,5291.544166666667,0.4275
L4,code,eagle3,8,246.20333333333335,87.36065230419524,87.15375,0.9115434235643858,11.15375,0.21218967110050174,5786.59625,0.4409
